PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS25613690,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS17225051,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/03/2022,25,0,
LS17225062,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,0,
LS17225073,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS17225084,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS17225084,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,29/03/2022,25,0,
LS20603612,22/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS24715491,22/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS24715491,22/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/03/2022,25,0,
LS25613715,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
LS25613737,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
LS25613759,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,50,
LS25613781,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS25613792,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS25613792,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,23/03/2022,25,0,
LS25613806,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
LS25613817,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
LS17225040,22/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS17225051,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS17225095,22/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,50,
LS17816513,22/03/2022,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,22/03/2022,25,0,
LS17816513,22/03/2022,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,24/03/2022,25,0,
LS17816513,22/03/2022,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,25/03/2022,25,0,
LS17816524,22/03/2022,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,22/03/2022,25,0,
LS17816524,22/03/2022,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,25/03/2022,25,0,
LS20603612,22/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,25/03/2022,25,0,
LS20603612,22/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,28/03/2022,25,0,
LS24715491,22/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,24/03/2022,25,0,
LS25613704,22/03/2022,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,22/03/2022,0,50,
LS25613726,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
LS25613748,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS2561376A,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
LS25613770,22/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,0,50,
